20100603000621 13346.106  3881.746 55834.767 .
20100603000622 13346.076  3881.805 55834.767 .
20100603000623 13346.107  3881.833 55834.754 .
20100603000624 13346.077  3881.845 55834.756 .
20100603000625 13346.060  3881.807 55834.758 .
20100603000626 13346.107  3881.787 55834.779 .
20100603000627 13346.115  3881.832 55834.753 .
20100603000628 13346.153  3881.823 55834.755 .
20100603000629 13346.112  3881.869 55834.789 .
20100603000630 13346.080  3881.854 55834.753 .
20100603000631 13346.050  3881.845 55834.744 .
20100603000632 13346.101  3881.841 55834.763 .
20100603000633 13346.153  3881.896 55834.750 .
20100603000634 13346.159  3881.861 55834.764 .
20100603000635 13346.166  3881.906 55834.782 .
20100603000636 13346.107  3881.912 55834.767 .
20100603000637 13346.113  3881.969 55834.784 .
20100603000638 13346.090  3882.009 55834.779 .
20100603000639 13346.038  3882.031 55834.781 .
20100603000640 13346.032  3882.062 55834.769 .
20100603000641 13346.054  3882.069 55834.768 .
20100603000642 13345.963  3882.104 55834.752 .
20100603000643 13345.925  3882.108 55834.792 .
20100603000644 13345.916  3882.115 55834.781 .
20100603000645 13345.884  3882.183 55834.798 .
20100603000646 13345.873  3882.184 55834.797 .
20100603000647 13345.786  3882.156 55834.764 .
20100603000648 13345.743  3882.045 55834.773 .
20100603000649 13345.642  3882.015 55834.797 .
20100603000650 13345.564  3882.019 55834.754 .
20100603000651 13345.517  3882.058 55834.761 .
20100603000652 13345.447  3882.010 55834.729 .
20100603000653 13345.440  3881.904 55834.730 .
20100603000654 13345.357  3881.898 55834.775 .
20100603000655 13345.316  3881.936 55834.807 .
20100603000656 13345.290  3881.884 55834.772 .
20100603000657 13345.295  3881.837 55834.793 .
20100603000658 13345.241  3881.780 55834.783 .
20100603000659 13345.249  3881.821 55834.792 .
20100603000700 13345.178  3881.783 55834.778 .
20100603000701 13345.202  3881.720 55834.809 .
20100603000702 13345.218  3881.692 55834.781 .
20100603000703 13345.114  3881.683 55834.776 .
20100603000704 13345.240  3881.719 55834.781 .
20100603000705 13345.254  3881.700 55834.742 .
20100603000706 13345.240  3881.698 55834.731 .
20100603000707 13345.246  3881.701 55834.727 .
20100603000708 13345.276  3881.781 55834.771 .
20100603000709 13345.267  3881.689 55834.765 .
20100603000710 13345.317  3881.762 55834.750 .
20100603000711 13345.322  3881.821 55834.733 .
20100603000712 13345.301  3881.842 55834.742 .
20100603000713 13345.372  3881.834 55834.757 .
20100603000714 13345.432  3881.898 55834.733 .
20100603000715 13345.436  3881.919 55834.758 .
20100603000716 13345.384  3881.926 55834.754 .
20100603000717 13345.395  3882.008 55834.779 .
20100603000718 13345.384  3881.969 55834.762 .
20100603000719 13345.418  3881.984 55834.764 .
20100603000720 13345.385  3882.027 55834.733 .
20100603000721 13345.425  3882.023 55834.712 .
20100603000722 13345.349  3882.059 55834.716 .
20100603000723 13345.357  3882.032 55834.712 .
20100603000724 13345.342  3882.092 55834.721 .
20100603000725 13345.320  3882.029 55834.706 .
20100603000726 13345.351  3882.065 55834.711 .
20100603000727 13345.286  3882.040 55834.712 .
20100603000728 13345.266  3882.040 55834.726 .
20100603000729 13345.292  3882.103 55834.689 .
20100603000730 13345.250  3882.085 55834.695 .
20100603000731 13345.228  3882.065 55834.711 .
20100603000732 13345.148  3882.061 55834.666 .
20100603000733 13345.182  3882.080 55834.692 .
20100603000734 13345.185  3882.065 55834.720 .
20100603000735 13345.163  3882.029 55834.689 .
20100603000736 13345.104  3882.070 55834.704 .
20100603000737 13345.124  3882.113 55834.678 .
20100603000738 13345.088  3882.136 55834.694 .
20100603000739 13345.049  3882.142 55834.686 .
20100603000740 13345.031  3882.150 55834.726 .
20100603000741 13344.952  3882.150 55834.676 .
20100603000742 13344.954  3882.119 55834.675 .
20100603000743 13344.967  3882.073 55834.712 .
20100603000744 13344.930  3882.079 55834.663 .
